time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-17 00:00:00,1702771200,9.4,48.9,0,13.2,21.2,222,SW,1035.0,30.58,0.0,0.0,90,32,6.5,43.7,6.5,43.7,9.4,48.9,7.8,46.0,0,0,0,0,10.0,6.0,21.6,34.7,1.0,Partly cloudy
2023-12-17 01:00:00,1702774800,8.6,47.6,0,13.2,21.2,215,SW,1035.0,30.55,0.0,0.0,92,34,5.5,42.0,5.5,42.0,8.6,47.6,7.5,45.4,0,0,0,0,10.0,6.0,21.7,34.9,1.0,Partly cloudy
2023-12-17 02:00:00,1702778400,8.2,46.8,0,14.3,23.0,212,SSW,1034.0,30.53,0.0,0.0,93,50,4.9,40.8,4.9,40.8,8.3,46.9,7.3,45.1,0,0,0,0,10.0,6.0,22.9,36.9,1.0,Partly cloudy
2023-12-17 03:00:00,1702782000,8.0,46.4,0,15.0,24.1,214,SW,1034.0,30.52,0.0,0.0,95,65,4.5,40.0,4.5,40.0,8.0,46.4,7.2,44.9,0,0,0,0,10.0,6.0,23.5,37.8,1.0,Cloudy
2023-12-17 04:00:00,1702785600,8.5,47.2,0,17.7,28.4,216,SW,1033.0,30.5,0.0,0.0,90,45,4.7,40.4,4.7,40.4,8.5,47.2,6.9,44.4,0,0,0,0,10.0,6.0,25.7,41.4,1.0,Partly cloudy
2023-12-17 05:00:00,1702789200,8.6,47.5,0,18.1,29.2,219,SW,1032.0,30.49,0.0,0.0,86,21,4.8,40.7,4.8,40.7,8.6,47.5,6.4,43.5,0,0,0,0,10.0,6.0,26.0,41.9,1.0,Clear
2023-12-17 06:00:00,1702792800,8.5,47.2,0,17.0,27.4,217,SW,1032.0,30.47,0.0,0.0,86,16,4.8,40.6,4.8,40.6,8.5,47.2,6.2,43.2,0,0,0,0,10.0,6.0,25.0,40.3,1.0,Clear
2023-12-17 07:00:00,1702796400,7.8,46.1,0,16.1,25.9,211,SSW,1032.0,30.47,0.0,0.0,89,26,4.1,39.3,4.1,39.3,7.8,46.1,6.1,42.9,0,0,0,0,10.0,6.0,24.6,39.6,1.0,Partly cloudy
2023-12-17 08:00:00,1702800000,7.0,44.7,0,15.9,25.6,208,SSW,1032.0,30.46,0.0,0.0,92,41,3.1,37.5,3.1,37.5,7.0,44.7,5.9,42.5,0,0,0,0,10.0,6.0,25.2,40.6,1.0,Partly cloudy
2023-12-17 09:00:00,1702803600,7.2,45.0,1,16.3,26.3,213,SSW,1032.0,30.46,0.0,0.0,92,45,3.2,37.8,3.2,37.8,7.2,45.0,6.0,42.8,0,0,0,0,10.0,6.0,25.5,41.0,3.0,Partly cloudy
2023-12-17 10:00:00,1702807200,8.1,46.7,1,17.0,27.4,216,SW,1032.0,30.46,0.0,0.0,89,51,4.4,39.8,4.4,39.8,8.1,46.7,6.5,43.7,0,0,0,0,10.0,6.0,25.0,40.2,3.0,Partly cloudy
2023-12-17 11:00:00,1702810800,9.3,48.7,1,19.0,30.6,219,SW,1031.0,30.46,0.0,0.0,84,65,5.6,42.0,5.6,42.0,9.3,48.7,6.6,44.0,0,0,0,0,10.0,6.0,26.7,42.9,2.0,Cloudy
2023-12-17 12:00:00,1702814400,9.8,49.7,1,19.7,31.7,221,SW,1031.0,30.44,0.0,0.0,80,65,6.2,43.2,6.2,43.2,9.8,49.7,6.6,43.9,0,0,0,0,10.0,6.0,27.6,44.4,2.0,Cloudy
2023-12-17 13:00:00,1702818000,10.3,50.5,1,19.5,31.3,223,SW,1030.0,30.43,0.0,0.0,80,93,6.8,44.3,6.8,44.3,10.3,50.5,7.0,44.6,0,0,0,0,10.0,6.0,27.4,44.1,3.0,Overcast
2023-12-17 14:00:00,1702821600,10.3,50.6,1,18.1,29.2,223,SW,1030.0,30.41,0.0,0.0,82,96,7.0,44.7,7.0,44.7,10.3,50.6,7.4,45.3,0,0,0,0,10.0,6.0,26.3,42.4,3.0,Overcast
2023-12-17 15:00:00,1702825200,10.2,50.3,1,17.9,28.8,225,SW,1030.0,30.41,0.0,0.0,83,89,6.9,44.4,6.9,44.4,10.2,50.3,7.4,45.3,0,0,0,0,10.0,6.0,27.1,43.6,3.0,Overcast
2023-12-17 16:00:00,1702828800,9.8,49.6,0,17.0,27.4,226,SW,1030.0,30.41,0.0,0.0,84,58,6.5,43.6,6.5,43.6,9.8,49.6,7.3,45.1,0,0,0,0,10.0,6.0,27.1,43.7,1.0,Partly cloudy
2023-12-17 17:00:00,1702832400,9.3,48.8,0,15.4,24.8,224,SW,1030.0,30.41,0.0,0.0,87,39,6.1,42.9,6.1,42.9,9.3,48.8,7.3,45.1,0,0,0,0,10.0,6.0,25.4,40.9,1.0,Partly cloudy
2023-12-17 18:00:00,1702836000,9.4,48.8,0,15.0,24.1,221,SW,1030.0,30.41,0.0,0.0,87,8,6.2,43.1,6.2,43.1,9.4,48.8,7.3,45.1,0,0,0,0,10.0,6.0,24.9,40.1,1.0,Clear
