time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-19 00:00:00,1702944000,11.2,52.2,0,12.3,19.8,220,SW,1022.0,30.18,0.59,0.02,97,100,8.9,48.0,8.9,48.0,11.2,52.2,10.8,51.4,1,100,0,0,2.0,1.0,18.8,30.3,1.0,Light drizzle
2023-12-19 01:00:00,1702947600,11.2,52.2,0,12.3,19.8,223,SW,1022.0,30.17,0.81,0.03,97,100,8.9,48.1,8.9,48.1,11.2,52.2,10.8,51.4,1,100,0,0,9.0,5.0,18.8,30.2,1.0,Light rain
2023-12-19 02:00:00,1702951200,11.2,52.2,0,11.6,18.7,221,SW,1021.0,30.14,0.62,0.02,97,100,9.0,48.3,9.0,48.3,11.2,52.2,10.8,51.4,1,100,0,0,2.0,1.0,17.8,28.6,1.0,Light drizzle
2023-12-19 03:00:00,1702954800,11.2,52.2,0,11.6,18.7,228,SW,1020.0,30.12,1.32,0.05,97,100,9.0,48.3,9.0,48.3,11.2,52.2,10.8,51.5,1,100,0,0,9.0,5.0,17.8,28.7,1.0,Light rain
2023-12-19 04:00:00,1702958400,11.3,52.3,0,11.0,17.6,225,SW,1019.0,30.1,0.55,0.02,97,100,9.2,48.5,9.2,48.5,11.3,52.3,10.8,51.5,1,100,0,0,2.0,1.0,16.8,27.0,1.0,Light drizzle
2023-12-19 05:00:00,1702962000,11.3,52.3,0,11.2,18.0,240,WSW,1019.0,30.09,1.18,0.05,97,100,9.2,48.6,9.2,48.6,11.3,52.3,10.8,51.4,1,100,0,0,9.0,5.0,17.0,27.4,1.0,Light rain
2023-12-19 06:00:00,1702965600,10.6,51.1,0,5.6,9.0,299,WNW,1019.0,30.09,1.16,0.05,95,100,9.5,49.1,9.5,49.1,10.6,51.1,9.8,49.6,1,100,0,0,9.0,5.0,8.2,13.2,1.0,Light rain
2023-12-19 07:00:00,1702969200,9.6,49.3,0,4.7,7.6,352,N,1019.0,30.09,0.52,0.02,95,100,8.6,47.5,8.6,47.5,9.6,49.3,8.8,47.8,1,100,0,0,2.0,1.0,7.0,11.2,1.0,Light drizzle
2023-12-19 08:00:00,1702972800,9.1,48.4,0,5.1,8.3,9,N,1019.0,30.1,0.87,0.03,95,100,7.9,46.2,7.9,46.2,9.1,48.4,8.3,46.9,1,100,0,0,9.0,5.0,7.5,12.1,1.0,Light rain
2023-12-19 09:00:00,1702976400,8.7,47.7,1,6.0,9.7,11,NNE,1020.0,30.11,1.61,0.06,95,100,7.2,44.9,7.2,44.9,8.7,47.7,8.0,46.4,1,100,0,0,9.0,5.0,8.7,14.0,2.0,Light rain
2023-12-19 10:00:00,1702980000,8.6,47.5,1,7.2,11.5,359,N,1020.0,30.12,1.78,0.07,95,100,6.7,44.0,6.7,44.0,8.6,47.5,7.9,46.1,1,100,0,0,9.0,5.0,10.3,16.5,2.0,Light rain
2023-12-19 11:00:00,1702983600,8.4,47.2,1,6.7,10.8,3,N,1020.0,30.12,0.87,0.03,94,100,6.6,43.9,6.6,43.9,8.4,47.2,7.5,45.5,1,100,0,0,9.0,5.0,9.6,15.4,2.0,Light rain
2023-12-19 12:00:00,1702987200,8.4,47.1,1,6.0,9.7,345,NNW,1020.0,30.13,0.17,0.01,92,100,6.8,44.2,6.8,44.2,8.4,47.1,7.2,45.0,1,100,0,0,2.0,1.0,8.7,13.9,2.0,Light drizzle
2023-12-19 13:00:00,1702990800,8.5,47.3,1,6.9,11.2,334,NNW,1020.0,30.12,0.01,0.0,90,100,6.6,44.0,6.6,44.0,8.5,47.3,7.0,44.6,0,45,0,0,10.0,6.0,10.1,16.2,2.0,Patchy rain possible
2023-12-19 14:00:00,1702994400,8.7,47.6,1,8.9,14.4,334,NNW,1020.0,30.13,0.01,0.0,88,100,6.4,43.5,6.4,43.5,8.7,47.6,6.7,44.1,0,45,0,0,10.0,6.0,12.8,20.6,2.0,Patchy rain possible
2023-12-19 15:00:00,1702998000,8.2,46.7,1,9.6,15.5,335,NNW,1020.0,30.13,0.01,0.0,86,100,5.6,42.1,5.6,42.1,8.2,46.7,6.0,42.8,0,45,0,0,10.0,6.0,13.9,22.4,2.0,Patchy rain possible
2023-12-19 16:00:00,1703001600,7.7,45.8,0,9.8,15.8,336,NNW,1021.0,30.14,0.0,0.0,82,100,5.0,40.9,5.0,40.9,7.7,45.8,4.7,40.5,0,0,0,0,10.0,6.0,14.7,23.6,1.0,Overcast
2023-12-19 17:00:00,1703005200,7.3,45.1,0,8.9,14.4,329,NNW,1021.0,30.15,0.0,0.0,78,34,4.7,40.4,4.7,40.4,7.3,45.1,3.7,38.6,0,0,0,0,10.0,6.0,13.8,22.2,1.0,Partly cloudy
2023-12-19 18:00:00,1703008800,6.8,44.2,0,8.5,13.7,313,NW,1022.0,30.17,0.0,0.0,79,100,4.2,39.5,4.2,39.5,6.8,44.2,3.5,38.2,0,0,0,0,10.0,6.0,13.7,22.0,1.0,Overcast
2023-12-19 19:00:00,1703012400,6.3,43.3,0,9.6,15.5,294,WNW,1023.0,30.2,0.0,0.0,84,2,3.3,37.9,3.3,37.9,6.3,43.3,3.8,38.8,0,0,0,0,10.0,6.0,15.5,25.0,1.0,Clear
2023-12-19 20:00:00,1703016000,5.4,41.7,0,8.9,14.4,284,WNW,1023.0,30.21,0.0,0.0,87,15,2.3,36.2,2.3,36.2,5.4,41.7,3.4,38.1,0,0,0,0,10.0,6.0,15.1,24.3,1.0,Clear
2023-12-19 21:00:00,1703019600,4.8,40.6,0,7.6,12.2,268,W,1023.0,30.22,0.0,0.0,89,10,1.9,35.5,1.9,35.5,4.8,40.6,3.2,37.7,0,0,0,0,10.0,6.0,13.3,21.4,1.0,Clear
2023-12-19 22:00:00,1703023200,4.5,40.2,0,8.1,13.0,268,W,1023.0,30.22,0.0,0.0,91,10,1.5,34.7,1.5,34.7,4.5,40.2,3.2,37.7,0,0,0,0,10.0,6.0,14.5,23.3,1.0,Clear
