time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-14 00:00:00,1702512000,2.1,35.8,0,4.0,6.5,288,WNW,1016.0,30.01,0.0,0.0,86,71,0.2,32.4,0.2,32.4,2.1,35.8,0.1,32.2,0,0,0,0,10.0,6.0,7.9,12.6,1.0,Cloudy
2023-12-14 01:00:00,1702515600,1.8,35.2,0,3.8,6.1,268,W,1017.0,30.02,0.0,0.0,88,21,-0.0,31.9,-0.0,31.9,1.8,35.2,-0.1,31.9,0,0,0,0,10.0,6.0,7.5,12.0,1.0,Clear
2023-12-14 02:00:00,1702519200,2.0,35.6,0,4.7,7.6,257,WSW,1017.0,30.05,0.0,0.0,87,100,-0.3,31.6,-0.3,31.6,2.0,35.6,0.1,32.1,0,0,0,0,10.0,6.0,8.9,14.3,1.0,Overcast
2023-12-14 03:00:00,1702522800,2.3,36.2,0,4.5,7.2,222,SW,1017.0,30.04,0.0,0.0,85,96,0.3,32.5,0.3,32.5,2.3,36.2,0.2,32.3,0,0,0,0,10.0,6.0,8.3,13.3,1.0,Overcast
2023-12-14 04:00:00,1702526400,3.0,37.4,0,4.5,7.2,216,SW,1017.0,30.04,0.0,0.0,84,100,1.0,33.9,1.0,33.9,3.0,37.4,0.5,32.9,0,0,0,0,10.0,6.0,7.8,12.6,1.0,Overcast
2023-12-14 05:00:00,1702530000,3.3,38.0,0,4.7,7.6,212,SSW,1018.0,30.05,0.05,0.0,83,100,1.3,34.3,1.3,34.3,3.3,38.0,0.8,33.4,0,45,0,0,10.0,6.0,8.1,13.0,1.0,Patchy rain possible
2023-12-14 06:00:00,1702533600,3.6,38.6,0,5.1,8.3,194,SSW,1018.0,30.06,0.0,0.0,83,100,1.5,34.6,1.5,34.6,3.6,38.6,1.0,33.7,0,0,0,0,10.0,6.0,9.1,14.6,1.0,Overcast
2023-12-14 07:00:00,1702537200,3.9,39.1,0,5.8,9.4,189,S,1018.0,30.07,0.0,0.0,83,100,1.5,34.7,1.5,34.7,3.9,39.1,1.3,34.3,0,0,0,0,10.0,6.0,10.3,16.6,1.0,Overcast
2023-12-14 08:00:00,1702540800,4.3,39.8,0,6.5,10.4,193,SSW,1019.0,30.08,0.0,0.0,84,100,1.7,35.1,1.7,35.1,4.3,39.8,1.8,35.3,0,0,0,0,10.0,6.0,11.5,18.5,1.0,Overcast
2023-12-14 09:00:00,1702544400,4.9,40.8,1,7.8,12.6,205,SSW,1019.0,30.09,0.0,0.0,86,100,2.0,35.6,2.0,35.6,4.9,40.8,2.8,37.1,0,0,0,0,10.0,6.0,13.3,21.4,1.0,Overcast
2023-12-14 10:00:00,1702548000,5.7,42.3,1,7.6,12.2,212,SSW,1020.0,30.11,0.0,0.0,89,88,3.1,37.6,3.1,37.6,5.7,42.3,4.0,39.2,0,0,0,0,10.0,6.0,12.3,19.8,2.0,Overcast
2023-12-14 11:00:00,1702551600,6.7,44.0,1,7.8,12.6,233,SW,1020.0,30.13,0.0,0.0,90,100,4.2,39.6,4.2,39.6,6.7,44.0,5.1,41.2,0,0,0,0,10.0,6.0,11.8,19.0,2.0,Overcast
2023-12-14 12:00:00,1702555200,7.7,45.9,1,7.8,12.6,252,WSW,1021.0,30.14,0.0,0.0,89,86,5.5,41.8,5.5,41.8,7.7,45.9,6.0,42.8,0,45,0,0,10.0,6.0,11.3,18.2,2.0,Cloudy
2023-12-14 13:00:00,1702558800,8.7,47.6,1,7.8,12.6,289,WNW,1021.0,30.15,0.0,0.0,79,76,6.6,43.9,6.6,43.9,8.7,47.6,5.2,41.4,0,45,0,0,10.0,6.0,12.0,19.3,2.0,Cloudy
2023-12-14 14:00:00,1702562400,8.8,47.9,1,9.6,15.5,311,NW,1022.0,30.17,0.0,0.0,75,61,6.4,43.5,6.4,43.5,8.8,47.9,4.7,40.4,0,45,0,0,10.0,6.0,14.7,23.6,3.0,Partly cloudy
2023-12-14 15:00:00,1702566000,7.7,45.8,1,6.5,10.4,319,NW,1023.0,30.2,0.01,0.0,80,79,5.8,42.4,5.8,42.4,7.7,45.8,4.5,40.0,0,45,0,0,10.0,6.0,11.1,17.9,2.0,Patchy rain possible
2023-12-14 16:00:00,1702569600,6.1,43.1,0,6.0,9.7,314,NW,1024.0,30.24,0.0,0.0,84,19,4.1,39.3,4.1,39.3,6.1,43.1,3.6,38.5,0,45,0,0,10.0,6.0,11.9,19.1,1.0,Clear
2023-12-14 17:00:00,1702573200,5.1,41.1,0,4.5,7.2,309,NW,1025.0,30.28,0.0,0.0,86,39,3.4,38.2,3.4,38.2,5.1,41.1,3.0,37.4,0,0,0,0,10.0,6.0,9.3,15.0,1.0,Partly cloudy
2023-12-14 18:00:00,1702576800,4.5,40.1,0,2.9,4.7,280,W,1026.0,30.3,0.0,0.0,87,74,3.6,38.5,3.6,38.5,4.5,40.1,2.5,36.5,0,0,0,0,10.0,6.0,6.1,9.8,1.0,Cloudy
2023-12-14 19:00:00,1702580400,4.5,40.0,0,3.6,5.8,268,W,1027.0,30.34,0.0,0.0,86,55,3.2,37.7,3.2,37.7,4.5,40.0,2.4,36.3,0,0,0,0,10.0,6.0,7.4,12.0,1.0,Partly cloudy
2023-12-14 20:00:00,1702584000,4.6,40.3,0,3.8,6.1,250,WSW,1028.0,30.37,0.0,0.0,84,39,3.2,37.8,3.2,37.8,4.6,40.3,2.2,36.0,0,0,0,0,10.0,6.0,7.8,12.6,1.0,Partly cloudy
2023-12-14 21:00:00,1702587600,4.7,40.5,0,4.0,6.5,255,WSW,1029.0,30.39,0.0,0.0,81,44,3.3,37.9,3.3,37.9,4.7,40.5,1.7,35.1,0,0,0,0,10.0,6.0,8.4,13.5,1.0,Partly cloudy
2023-12-14 22:00:00,1702591200,5.3,41.6,0,4.9,7.9,269,W,1030.0,30.41,0.0,0.0,75,50,3.6,38.4,3.6,38.4,5.3,41.6,1.4,34.4,0,0,0,0,10.0,6.0,10.0,16.1,1.0,Partly cloudy
2023-12-14 23:00:00,1702594800,5.8,42.4,0,5.1,8.3,265,W,1030.0,30.42,0.0,0.0,73,45,4.0,39.2,4.0,39.2,5.8,42.4,1.3,34.3,0,0,0,0,10.0,6.0,10.2,16.4,1.0,Partly cloudy
