time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-23 00:00:00,1703289600,7.4,45.3,0,14.5,23.4,258,WSW,1017.0,30.02,0.0,0.0,85,90,3.7,38.7,3.7,38.7,7.4,45.3,5.0,40.9,0,0,0,0,10.0,6.0,23.8,38.3,1.0,Overcast
2023-12-23 01:00:00,1703293200,8.1,46.6,0,16.6,26.6,260,W,1016.0,30.01,0.0,0.0,83,53,4.4,39.9,4.4,39.9,8.1,46.6,5.4,41.7,0,0,0,0,10.0,6.0,26.1,42.0,1.0,Partly cloudy
2023-12-23 02:00:00,1703296800,8.3,47.0,0,16.8,27.0,266,W,1016.0,30.01,0.0,0.0,84,100,4.6,40.3,4.6,40.3,8.3,47.0,5.8,42.5,0,0,0,0,10.0,6.0,27.1,43.7,1.0,Overcast
2023-12-23 03:00:00,1703300400,10.4,50.7,0,19.7,31.7,275,W,1016.0,29.99,0.0,0.0,75,100,7.0,44.6,7.0,44.6,10.4,50.7,6.2,43.2,0,45,0,0,10.0,6.0,30.8,49.6,1.0,Overcast
2023-12-23 04:00:00,1703304000,10.6,51.0,0,19.9,32.0,274,W,1015.0,29.98,0.03,0.0,76,95,7.2,44.9,7.2,44.9,10.6,51.0,6.5,43.6,0,45,0,0,10.0,6.0,30.7,49.4,1.0,Patchy rain possible
2023-12-23 05:00:00,1703307600,9.9,49.9,0,17.9,28.8,275,W,1015.0,29.98,0.0,0.0,77,85,6.6,43.8,6.6,43.8,9.9,49.9,6.1,42.9,0,45,0,0,10.0,6.0,27.8,44.8,1.0,Cloudy
2023-12-23 06:00:00,1703311200,9.9,49.8,0,17.0,27.4,275,W,1015.0,29.98,0.01,0.0,76,90,6.7,44.0,6.7,44.0,9.9,49.8,5.8,42.5,0,45,0,0,10.0,6.0,26.5,42.6,1.0,Patchy rain possible
2023-12-23 07:00:00,1703314800,9.8,49.7,0,17.2,27.7,270,W,1015.0,29.98,0.0,0.0,73,47,6.5,43.8,6.5,43.8,9.8,49.7,5.3,41.5,0,45,0,0,10.0,6.0,27.2,43.8,1.0,Partly cloudy
2023-12-23 08:00:00,1703318400,9.2,48.5,0,16.3,26.3,261,W,1015.0,29.97,0.0,0.0,74,10,5.8,42.4,5.8,42.4,9.2,48.5,4.9,40.7,0,0,0,0,10.0,6.0,27.6,44.4,1.0,Clear
2023-12-23 09:00:00,1703322000,9.0,48.2,1,16.6,26.6,262,W,1015.0,29.98,0.0,0.0,75,32,5.5,41.9,5.5,41.9,9.0,48.2,4.8,40.7,0,0,0,0,10.0,6.0,27.7,44.6,3.0,Partly cloudy
