time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-13 00:00:00,1702425600,7.0,44.6,0,6.3,10.1,359,N,996.0,29.43,0.0,0.0,94,100,5.0,41.1,5.0,41.1,7.0,44.6,6.2,43.1,0,0,0,0,2.0,1.0,10.2,16.5,1.0,Mist
2023-12-13 01:00:00,1702429200,7.0,44.7,0,7.2,11.5,351,N,997.0,29.44,0.0,0.0,94,85,4.8,40.7,4.8,40.7,7.0,44.7,6.2,43.1,0,45,0,0,2.0,1.0,11.3,18.2,1.0,Mist
2023-12-13 02:00:00,1702432800,7.0,44.6,0,7.6,12.2,344,NNW,998.0,29.46,0.0,0.0,94,100,4.7,40.4,4.7,40.4,7.0,44.7,6.1,42.9,0,45,0,0,10.0,6.0,11.8,19.0,1.0,Overcast
2023-12-13 03:00:00,1702436400,7.0,44.7,0,8.9,14.4,338,NNW,998.0,29.48,0.0,0.0,93,100,4.4,39.8,4.4,39.8,7.0,44.7,6.0,42.8,0,45,0,0,10.0,6.0,13.5,21.7,1.0,Overcast
2023-12-13 04:00:00,1702440000,6.9,44.4,0,10.3,16.6,342,NNW,999.0,29.51,0.02,0.0,92,100,3.9,39.0,3.9,39.0,6.9,44.4,5.7,42.2,0,45,0,0,10.0,6.0,15.3,24.6,1.0,Patchy rain possible
2023-12-13 05:00:00,1702443600,6.8,44.2,0,11.9,19.1,339,NNW,1000.0,29.53,0.01,0.0,91,100,3.4,38.2,3.4,38.2,6.8,44.2,5.4,41.6,0,45,0,0,10.0,6.0,17.5,28.1,1.0,Patchy rain possible
2023-12-13 06:00:00,1702447200,6.4,43.6,0,14.5,23.4,335,NNW,1001.0,29.56,0.01,0.0,88,100,2.5,36.6,2.5,36.6,6.4,43.6,4.7,40.4,0,45,0,0,10.0,6.0,21.3,34.3,1.0,Patchy rain possible
2023-12-13 07:00:00,1702450800,6.2,43.1,0,17.4,28.1,339,NNW,1002.0,29.58,0.07,0.0,87,100,1.7,35.1,1.7,35.1,6.2,43.1,4.2,39.5,0,45,0,0,10.0,6.0,25.4,40.9,1.0,Patchy rain possible
2023-12-13 08:00:00,1702454400,5.7,42.2,0,17.4,28.1,350,N,1003.0,29.61,0.4,0.02,93,100,1.1,34.0,1.1,34.0,5.7,42.2,4.6,40.4,1,100,0,0,2.0,1.0,25.0,40.2,1.0,Light drizzle
2023-12-13 09:00:00,1702458000,5.5,41.9,1,19.2,31.0,356,N,1004.0,29.65,0.24,0.01,94,100,0.6,33.1,0.6,33.1,5.5,41.9,4.7,40.4,1,100,0,0,2.0,1.0,28.0,45.0,2.0,Light drizzle
2023-12-13 10:00:00,1702461600,5.9,42.7,1,19.5,31.3,358,N,1006.0,29.7,0.04,0.0,88,100,1.2,34.1,1.2,34.1,5.9,42.7,4.1,39.4,0,45,0,0,10.0,6.0,28.2,45.4,2.0,Patchy rain possible
2023-12-13 11:00:00,1702465200,6.4,43.5,1,19.0,30.6,0,N,1007.0,29.74,0.02,0.0,82,100,1.8,35.3,1.8,35.3,6.4,43.5,3.5,38.3,0,45,0,0,10.0,6.0,27.0,43.4,2.0,Patchy rain possible
2023-12-13 12:00:00,1702468800,6.4,43.6,1,17.4,28.1,358,N,1008.0,29.76,0.05,0.0,82,100,2.1,35.7,2.1,35.7,6.4,43.6,3.6,38.5,0,45,0,0,10.0,6.0,23.9,38.5,2.0,Patchy rain possible
2023-12-13 13:00:00,1702472400,6.2,43.1,1,16.1,25.9,355,N,1009.0,29.8,0.01,0.0,81,99,1.9,35.5,1.9,35.5,6.2,43.1,3.1,37.6,0,45,0,0,10.0,6.0,22.6,36.4,2.0,Patchy rain possible
2023-12-13 14:00:00,1702476000,6.1,43.0,1,14.8,23.8,356,N,1010.0,29.82,0.0,0.0,77,54,2.1,35.7,2.1,35.7,6.1,43.0,2.4,36.4,0,45,0,0,10.0,6.0,21.1,33.9,3.0,Partly cloudy
2023-12-13 15:00:00,1702479600,5.7,42.3,1,13.9,22.3,348,NNW,1011.0,29.85,0.0,0.0,76,61,1.7,35.1,1.7,35.1,5.7,42.3,1.9,35.4,0,0,0,0,10.0,6.0,21.0,33.8,3.0,Partly cloudy
2023-12-13 16:00:00,1702483200,4.8,40.6,0,11.6,18.7,346,NNW,1012.0,29.88,0.0,0.0,78,41,1.0,33.7,1.0,33.7,4.8,40.6,1.3,34.3,0,0,0,0,10.0,6.0,19.3,31.1,1.0,Partly cloudy
