time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-22 00:00:00,1703203200,9.0,48.2,0,14.3,23.0,283,WNW,1013.0,29.91,0.06,0.0,78,100,5.8,42.4,5.8,42.4,9.0,48.2,5.4,41.7,0,45,0,0,10.0,6.0,21.7,35.0,1.0,Patchy rain possible
2023-12-22 01:00:00,1703206800,9.1,48.4,0,15.0,24.1,275,W,1012.0,29.89,0.46,0.02,87,100,5.9,42.6,5.9,42.6,9.1,48.4,7.0,44.6,1,100,0,0,2.0,1.0,23.0,37.0,1.0,Light drizzle
2023-12-22 02:00:00,1703210400,10.3,50.5,0,20.1,32.4,287,WNW,1012.0,29.89,0.21,0.01,82,100,6.8,44.2,6.8,44.2,10.3,50.5,7.4,45.4,1,100,0,0,2.0,1.0,30.7,49.4,1.0,Light drizzle
2023-12-22 03:00:00,1703214000,10.4,50.8,0,20.8,33.5,288,WNW,1012.0,29.89,0.11,0.0,82,100,6.9,44.4,6.9,44.4,10.4,50.8,7.4,45.4,1,100,0,0,10.0,6.0,31.7,51.0,1.0,Patchy rain possible
2023-12-22 04:00:00,1703217600,10.3,50.6,0,21.7,34.9,286,WNW,1012.0,29.89,0.14,0.01,83,100,6.7,44.0,6.7,44.0,10.3,50.6,7.5,45.6,1,100,0,0,10.0,6.0,32.9,52.9,1.0,Patchy rain possible
2023-12-22 05:00:00,1703221200,10.4,50.7,0,22.4,36.0,286,WNW,1012.0,29.89,0.12,0.0,83,100,6.7,44.0,6.7,44.0,10.4,50.6,7.6,45.6,1,100,0,0,10.0,6.0,33.8,54.4,1.0,Patchy rain possible
2023-12-22 06:00:00,1703224800,10.4,50.8,0,23.0,37.1,285,WNW,1012.0,29.9,0.03,0.0,81,100,6.7,44.1,6.7,44.1,10.4,50.8,7.3,45.1,0,45,0,0,10.0,6.0,34.9,56.2,1.0,Patchy rain possible
2023-12-22 07:00:00,1703228400,10.5,50.9,0,23.5,37.8,290,WNW,1013.0,29.92,0.01,0.0,76,100,6.7,44.1,6.7,44.1,10.5,50.9,6.4,43.5,0,45,0,0,10.0,6.0,36.2,58.2,1.0,Patchy rain possible
2023-12-22 08:00:00,1703232000,10.3,50.5,0,22.1,35.6,287,WNW,1014.0,29.93,0.01,0.0,75,100,6.6,43.9,6.6,43.9,10.3,50.5,6.1,43.0,0,45,0,0,10.0,6.0,34.0,54.8,1.0,Patchy rain possible
2023-12-22 09:00:00,1703235600,10.2,50.3,1,21.3,34.2,284,WNW,1014.0,29.95,0.0,0.0,75,100,6.5,43.7,6.5,43.7,10.2,50.3,5.9,42.6,0,45,0,0,10.0,6.0,32.6,52.5,3.0,Overcast
2023-12-22 10:00:00,1703239200,10.0,50.0,1,21.3,34.2,285,WNW,1015.0,29.97,0.0,0.0,75,100,6.3,43.4,6.3,43.4,10.0,50.0,5.9,42.5,0,45,0,0,10.0,6.0,32.4,52.1,3.0,Overcast
2023-12-22 11:00:00,1703242800,10.1,50.1,1,21.5,34.6,287,WNW,1015.0,29.98,0.01,0.0,75,100,6.4,43.5,6.4,43.5,10.1,50.1,5.8,42.4,0,45,0,0,10.0,6.0,32.1,51.7,3.0,Patchy rain possible
2023-12-22 12:00:00,1703246400,10.0,50.1,1,20.6,33.1,284,WNW,1015.0,29.98,0.0,0.0,74,95,6.4,43.5,6.4,43.5,10.0,50.1,5.7,42.2,0,45,0,0,10.0,6.0,30.5,49.1,3.0,Overcast
2023-12-22 13:00:00,1703250000,10.1,50.2,1,20.1,32.4,284,WNW,1015.0,29.98,0.01,0.0,74,85,6.6,43.9,6.6,43.9,10.1,50.2,5.7,42.3,0,45,0,0,10.0,6.0,29.0,46.7,3.0,Patchy rain possible
2023-12-22 14:00:00,1703253600,9.9,49.9,1,19.5,31.3,287,WNW,1015.0,29.99,0.0,0.0,73,77,6.4,43.5,6.4,43.5,9.9,49.9,5.4,41.8,0,45,0,0,10.0,6.0,28.6,46.1,2.0,Cloudy
2023-12-22 15:00:00,1703257200,9.4,48.9,1,19.2,31.0,288,WNW,1016.0,30.0,0.0,0.0,74,90,5.7,42.3,5.7,42.3,9.4,48.9,5.1,41.2,0,45,0,0,10.0,6.0,29.5,47.5,2.0,Overcast
2023-12-22 16:00:00,1703260800,9.0,48.1,0,18.8,30.2,287,WNW,1017.0,30.02,0.0,0.0,74,84,5.2,41.4,5.2,41.4,9.0,48.1,4.7,40.4,0,0,0,0,10.0,6.0,29.6,47.7,1.0,Cloudy
2023-12-22 17:00:00,1703264400,9.0,48.2,0,17.2,27.7,286,WNW,1017.0,30.03,0.0,0.0,73,74,5.5,41.8,5.5,41.8,9.0,48.2,4.5,40.1,0,0,0,0,10.0,6.0,26.9,43.3,1.0,Cloudy
2023-12-22 18:00:00,1703268000,9.1,48.4,0,16.1,25.9,280,W,1017.0,30.03,0.0,0.0,73,34,5.7,42.3,5.7,42.3,9.1,48.4,4.6,40.3,0,0,0,0,10.0,6.0,25.0,40.2,1.0,Partly cloudy
2023-12-22 19:00:00,1703271600,8.5,47.3,0,15.0,24.1,275,W,1017.0,30.04,0.0,0.0,77,36,5.1,41.1,5.1,41.1,8.5,47.3,4.6,40.4,0,0,0,0,10.0,6.0,24.4,39.2,1.0,Partly cloudy
2023-12-22 20:00:00,1703275200,8.1,46.6,0,15.2,24.5,268,W,1018.0,30.05,0.0,0.0,79,37,4.5,40.2,4.5,40.2,8.1,46.6,4.7,40.5,0,0,0,0,10.0,6.0,24.5,39.5,1.0,Partly cloudy
2023-12-22 21:00:00,1703278800,7.8,46.0,0,15.0,24.1,260,W,1017.0,30.04,0.0,0.0,81,27,4.2,39.5,4.2,39.5,7.8,46.0,4.7,40.5,0,0,0,0,10.0,6.0,24.1,38.8,1.0,Partly cloudy
2023-12-22 22:00:00,1703282400,7.9,46.1,0,17.0,27.4,259,W,1017.0,30.04,0.0,0.0,81,42,4.0,39.2,4.0,39.2,7.9,46.1,4.9,40.8,0,0,0,0,10.0,6.0,27.3,43.9,1.0,Partly cloudy
2023-12-22 23:00:00,1703286000,8.0,46.5,0,17.9,28.8,262,W,1017.0,30.03,0.0,0.0,84,100,4.1,39.4,4.1,39.4,8.0,46.5,5.5,42.0,0,0,0,0,10.0,6.0,28.9,46.5,1.0,Overcast
