,start,end,start_time,clear_sky_ghi,clear_sky_dni,clear_sky_dhi,cloudy_sky_ghi,cloudy_sky_dni,cloudy_sky_dhi
0,00:00,00:15,2023-12-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
1,00:15,00:30,2023-12-13 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:30,00:45,2023-12-13 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:45,01:00,2023-12-13 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
4,01:00,01:15,2023-12-13 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:15,01:30,2023-12-13 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:30,01:45,2023-12-13 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:45,02:00,2023-12-13 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
8,02:00,02:15,2023-12-13 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:15,02:30,2023-12-13 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:30,02:45,2023-12-13 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:45,03:00,2023-12-13 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0
12,03:00,03:15,2023-12-13 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
13,03:15,03:30,2023-12-13 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0
14,03:30,03:45,2023-12-13 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
15,03:45,04:00,2023-12-13 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0
16,04:00,04:15,2023-12-13 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
17,04:15,04:30,2023-12-13 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0
18,04:30,04:45,2023-12-13 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
19,04:45,05:00,2023-12-13 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0
20,05:00,05:15,2023-12-13 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
21,05:15,05:30,2023-12-13 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0
22,05:30,05:45,2023-12-13 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
23,05:45,06:00,2023-12-13 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0
24,06:00,06:15,2023-12-13 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
25,06:15,06:30,2023-12-13 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0
26,06:30,06:45,2023-12-13 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0
27,06:45,07:00,2023-12-13 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0
28,07:00,07:15,2023-12-13 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
29,07:15,07:30,2023-12-13 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0
30,07:30,07:45,2023-12-13 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0
31,07:45,08:00,2023-12-13 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0
32,08:00,08:15,2023-12-13 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
33,08:15,08:30,2023-12-13 08:15:00,1.25,11.76,2.85,0.51,0.0,0.51
34,08:30,08:45,2023-12-13 08:30:00,5.12,40.33,5.68,2.01,0.0,2.01
35,08:45,09:00,2023-12-13 08:45:00,10.01,64.24,7.84,3.81,0.0,3.81
36,09:00,09:15,2023-12-13 09:00:00,15.28,83.0,9.59,5.65,0.0,5.65
37,09:15,09:30,2023-12-13 09:15:00,20.63,97.84,11.03,7.4,0.0,7.4
38,09:30,09:45,2023-12-13 09:30:00,25.85,109.75,12.24,8.97,0.0,8.97
39,09:45,10:00,2023-12-13 09:45:00,30.81,119.4,13.26,10.34,0.0,10.34
40,10:00,10:15,2023-12-13 10:00:00,35.41,127.26,14.13,11.47,0.0,11.47
41,10:15,10:30,2023-12-13 10:15:00,39.59,133.65,14.85,13.05,0.0,13.05
42,10:30,10:45,2023-12-13 10:30:00,43.27,138.82,15.46,14.52,0.0,14.52
43,10:45,11:00,2023-12-13 10:45:00,46.42,142.94,15.95,15.85,0.0,15.85
44,11:00,11:15,2023-12-13 11:00:00,49.0,146.12,16.34,17.01,0.0,17.01
45,11:15,11:30,2023-12-13 11:15:00,50.98,148.47,16.63,18.0,0.0,18.0
46,11:30,11:45,2023-12-13 11:30:00,52.35,150.03,16.82,18.78,0.0,18.78
47,11:45,12:00,2023-12-13 11:45:00,53.08,150.85,16.92,19.34,0.0,19.34
48,12:00,12:15,2023-12-13 12:00:00,53.16,150.94,16.94,19.67,0.0,19.67
49,12:15,12:30,2023-12-13 12:15:00,52.61,150.31,16.86,17.96,0.0,17.96
50,12:30,12:45,2023-12-13 12:30:00,51.42,148.94,16.69,16.03,0.0,16.03
51,12:45,13:00,2023-12-13 12:45:00,49.6,146.8,16.43,13.96,0.0,13.96
52,13:00,13:15,2023-12-13 13:00:00,47.18,143.83,16.07,11.8,0.0,11.8
53,13:15,13:30,2023-12-13 13:15:00,44.18,139.97,15.61,11.05,0.0,11.05
54,13:30,13:45,2023-12-13 13:30:00,40.64,135.09,15.04,10.16,0.0,10.16
55,13:45,14:00,2023-12-13 13:45:00,36.59,129.03,14.35,9.15,0.0,9.15
56,14:00,14:15,2023-12-13 14:00:00,32.1,121.59,13.52,8.03,0.0,8.03
