,start,end,start_time,clear_sky_ghi,clear_sky_dni,clear_sky_dhi,cloudy_sky_ghi,cloudy_sky_dni,cloudy_sky_dhi
0,00:00,00:15,2023-12-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
1,00:15,00:30,2023-12-22 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:30,00:45,2023-12-22 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:45,01:00,2023-12-22 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
4,01:00,01:15,2023-12-22 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:15,01:30,2023-12-22 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:30,01:45,2023-12-22 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:45,02:00,2023-12-22 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
8,02:00,02:15,2023-12-22 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:15,02:30,2023-12-22 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:30,02:45,2023-12-22 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:45,03:00,2023-12-22 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0
12,03:00,03:15,2023-12-22 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
13,03:15,03:30,2023-12-22 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0
14,03:30,03:45,2023-12-22 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
15,03:45,04:00,2023-12-22 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0
16,04:00,04:15,2023-12-22 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
17,04:15,04:30,2023-12-22 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0
18,04:30,04:45,2023-12-22 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
19,04:45,05:00,2023-12-22 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0
20,05:00,05:15,2023-12-22 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
21,05:15,05:30,2023-12-22 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0
22,05:30,05:45,2023-12-22 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
23,05:45,06:00,2023-12-22 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0
24,06:00,06:15,2023-12-22 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
25,06:15,06:30,2023-12-22 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0
26,06:30,06:45,2023-12-22 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0
27,06:45,07:00,2023-12-22 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0
28,07:00,07:15,2023-12-22 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
29,07:15,07:30,2023-12-22 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0
30,07:30,07:45,2023-12-22 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0
31,07:45,08:00,2023-12-22 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0
32,08:00,08:15,2023-12-22 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
33,08:15,08:30,2023-12-22 08:15:00,0.23,1.66,1.25,0.06,0.0,0.06
34,08:30,08:45,2023-12-22 08:30:00,3.19,27.59,4.51,0.8,0.0,0.8
35,08:45,09:00,2023-12-22 08:45:00,7.67,53.74,6.92,1.92,0.0,1.92
36,09:00,09:15,2023-12-22 09:00:00,12.75,74.49,8.82,3.19,0.0,3.19
37,09:15,09:30,2023-12-22 09:15:00,18.02,90.83,10.38,4.98,0.0,4.98
38,09:30,09:45,2023-12-22 09:30:00,23.23,103.87,11.68,7.03,0.0,7.03
39,09:45,10:00,2023-12-22 09:45:00,28.23,114.4,12.78,9.25,0.0,9.25
40,10:00,10:15,2023-12-22 10:00:00,32.91,122.95,13.7,11.6,0.0,11.6
41,10:15,10:30,2023-12-22 10:15:00,37.19,129.93,14.48,13.17,0.0,13.17
42,10:30,10:45,2023-12-22 10:30:00,41.0,135.58,15.13,14.59,0.0,14.59
43,10:45,11:00,2023-12-22 10:45:00,44.3,140.1,15.66,15.85,0.0,15.85
44,11:00,11:15,2023-12-22 11:00:00,47.04,143.64,16.08,16.91,0.0,16.91
45,11:15,11:30,2023-12-22 11:15:00,49.19,146.29,16.41,18.1,0.0,18.1
46,11:30,11:45,2023-12-22 11:30:00,50.74,148.13,16.63,19.1,0.0,19.1
47,11:45,12:00,2023-12-22 11:45:00,51.65,149.19,16.76,19.87,0.0,19.87
48,12:00,12:15,2023-12-22 12:00:00,51.93,149.51,16.8,20.41,0.0,20.41
49,12:15,12:30,2023-12-22 12:15:00,51.57,149.1,16.75,19.87,0.0,19.87
50,12:30,12:45,2023-12-22 12:30:00,50.57,147.94,16.61,19.1,0.0,19.1
51,12:45,13:00,2023-12-22 12:45:00,48.95,146.0,16.37,18.11,0.0,18.11
52,13:00,13:15,2023-12-22 13:00:00,46.72,143.24,16.04,16.92,0.0,16.92
53,13:15,13:30,2023-12-22 13:15:00,43.91,139.58,15.6,15.32,0.0,15.32
54,13:30,13:45,2023-12-22 13:30:00,40.55,134.93,15.05,13.6,0.0,13.6
55,13:45,14:00,2023-12-22 13:45:00,36.67,129.12,14.39,11.8,0.0,11.8
56,14:00,14:15,2023-12-22 14:00:00,32.34,121.97,13.6,9.96,0.0,9.96
57,14:15,14:30,2023-12-22 14:15:00,27.61,113.17,12.65,8.37,0.0,8.37
58,14:30,14:45,2023-12-22 14:30:00,22.57,102.36,11.53,6.74,0.0,6.74
