,start,end,start_time,clear_sky_ghi,clear_sky_dni,clear_sky_dhi,cloudy_sky_ghi,cloudy_sky_dni,cloudy_sky_dhi
0,00:00,00:15,2023-12-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
1,00:15,00:30,2023-12-18 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:30,00:45,2023-12-18 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:45,01:00,2023-12-18 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
4,01:00,01:15,2023-12-18 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:15,01:30,2023-12-18 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:30,01:45,2023-12-18 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:45,02:00,2023-12-18 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
8,02:00,02:15,2023-12-18 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:15,02:30,2023-12-18 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:30,02:45,2023-12-18 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:45,03:00,2023-12-18 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0
12,03:00,03:15,2023-12-18 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
13,03:15,03:30,2023-12-18 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0
14,03:30,03:45,2023-12-18 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
15,03:45,04:00,2023-12-18 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0
16,04:00,04:15,2023-12-18 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
17,04:15,04:30,2023-12-18 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0
18,04:30,04:45,2023-12-18 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
19,04:45,05:00,2023-12-18 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0
20,05:00,05:15,2023-12-18 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
21,05:15,05:30,2023-12-18 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0
22,05:30,05:45,2023-12-18 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
23,05:45,06:00,2023-12-18 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0
24,06:00,06:15,2023-12-18 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
25,06:15,06:30,2023-12-18 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0
26,06:30,06:45,2023-12-18 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0
27,06:45,07:00,2023-12-18 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0
28,07:00,07:15,2023-12-18 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
29,07:15,07:30,2023-12-18 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0
30,07:30,07:45,2023-12-18 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0
31,07:45,08:00,2023-12-18 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0
32,08:00,08:15,2023-12-18 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
33,08:15,08:30,2023-12-18 08:15:00,0.52,4.47,1.85,0.13,0.0,0.13
34,08:30,08:45,2023-12-18 08:30:00,3.82,31.86,4.94,0.96,0.0,0.96
35,08:45,09:00,2023-12-18 08:45:00,8.44,57.08,7.25,2.11,0.0,2.11
36,09:00,09:15,2023-12-18 09:00:00,13.57,77.02,9.1,3.39,0.0,3.39
37,09:15,09:30,2023-12-18 09:15:00,18.84,92.76,10.62,4.71,0.0,4.71
38,09:30,09:45,2023-12-18 09:30:00,24.03,105.35,11.89,6.01,0.0,6.01
39,09:45,10:00,2023-12-18 09:45:00,29.0,115.54,12.96,7.25,0.0,7.25
40,10:00,10:15,2023-12-18 10:00:00,33.63,123.83,13.87,8.41,0.0,8.41
41,10:15,10:30,2023-12-18 10:15:00,37.85,130.59,14.63,9.46,0.0,9.46
42,10:30,10:45,2023-12-18 10:30:00,41.6,136.07,15.26,10.4,0.0,10.4
43,10:45,11:00,2023-12-18 10:45:00,44.82,140.45,15.77,11.21,0.0,11.21
44,11:00,11:15,2023-12-18 11:00:00,47.49,143.86,16.18,11.87,0.0,11.87
45,11:15,11:30,2023-12-18 11:15:00,49.56,146.39,16.49,12.39,0.0,12.39
46,11:30,11:45,2023-12-18 11:30:00,51.02,148.11,16.7,12.75,0.0,12.75
47,11:45,12:00,2023-12-18 11:45:00,51.85,149.07,16.82,12.96,0.0,12.96
48,12:00,12:15,2023-12-18 12:00:00,52.04,149.29,16.85,13.01,0.0,13.01
49,12:15,12:30,2023-12-18 12:15:00,51.59,148.79,16.79,12.9,0.0,12.9
50,12:30,12:45,2023-12-18 12:30:00,50.52,147.54,16.63,12.63,0.0,12.63
51,12:45,13:00,2023-12-18 12:45:00,48.82,145.51,16.38,12.2,0.0,12.2
52,13:00,13:15,2023-12-18 13:00:00,46.51,142.65,16.03,11.63,0.0,11.63
53,13:15,13:30,2023-12-18 13:15:00,43.62,138.88,15.58,10.91,0.0,10.91
54,13:30,13:45,2023-12-18 13:30:00,40.19,134.1,15.02,10.05,0.0,10.05
55,13:45,14:00,2023-12-18 13:45:00,36.24,128.14,14.34,9.06,0.0,9.06
56,14:00,14:15,2023-12-18 14:00:00,31.85,120.82,13.52,7.96,0.0,7.96
57,14:15,14:30,2023-12-18 14:15:00,27.08,111.83,12.56,6.77,0.0,6.77
58,14:30,14:45,2023-12-18 14:30:00,22.01,100.76,11.41,5.5,0.0,5.5
59,14:45,15:00,2023-12-18 14:45:00,16.77,87.02,10.05,4.19,0.0,4.19
60,15:00,15:15,2023-12-18 15:00:00,11.51,69.76,8.42,2.88,0.0,2.88
61,15:15,15:30,2023-12-18 15:15:00,6.53,47.83,6.41,1.63,0.0,1.63
62,15:30,15:45,2023-12-18 15:30:00,2.29,20.63,3.84,0.57,0.0,0.57
63,15:45,16:00,2023-12-18 15:45:00,0.0,0.0,0.0,0.0,0.0,0.0
64,16:00,16:15,2023-12-18 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0
65,16:15,16:30,2023-12-18 16:15:00,0.0,0.0,0.0,0.0,0.0,0.0
66,16:30,16:45,2023-12-18 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
