,start,end,start_time,clear_sky_ghi,clear_sky_dni,clear_sky_dhi,cloudy_sky_ghi,cloudy_sky_dni,cloudy_sky_dhi
0,00:00,00:15,2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
1,00:15,00:30,2024-01-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:30,00:45,2024-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:45,01:00,2024-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
4,01:00,01:15,2024-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:15,01:30,2024-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:30,01:45,2024-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:45,02:00,2024-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
8,02:00,02:15,2024-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:15,02:30,2024-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:30,02:45,2024-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:45,03:00,2024-01-01 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0
12,03:00,03:15,2024-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
13,03:15,03:30,2024-01-01 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0
14,03:30,03:45,2024-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
15,03:45,04:00,2024-01-01 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0
16,04:00,04:15,2024-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
17,04:15,04:30,2024-01-01 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0
18,04:30,04:45,2024-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
19,04:45,05:00,2024-01-01 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0
20,05:00,05:15,2024-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
21,05:15,05:30,2024-01-01 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0
22,05:30,05:45,2024-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
23,05:45,06:00,2024-01-01 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0
24,06:00,06:15,2024-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
25,06:15,06:30,2024-01-01 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0
26,06:30,06:45,2024-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0
27,06:45,07:00,2024-01-01 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0
28,07:00,07:15,2024-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
29,07:15,07:30,2024-01-01 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0
30,07:30,07:45,2024-01-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0
31,07:45,08:00,2024-01-01 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0
32,08:00,08:15,2024-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
33,08:15,08:30,2024-01-01 08:15:00,0.08,0.35,0.73,0.07,0.0,0.07
34,08:30,08:45,2024-01-01 08:30:00,2.75,24.46,4.2,2.54,0.0,2.54
35,08:45,09:00,2024-01-01 08:45:00,7.21,51.68,6.71,6.44,7.57,5.99
36,09:00,09:15,2024-01-01 09:00:00,12.36,73.36,8.68,10.64,31.44,7.93
37,09:15,09:30,2024-01-01 09:15:00,17.75,90.36,10.3,14.91,42.25,10.21
38,09:30,09:45,2024-01-01 09:30:00,23.11,103.9,11.64,18.89,47.8,12.46
