,start,end,start_time,clear_sky_ghi,clear_sky_dni,clear_sky_dhi,cloudy_sky_ghi,cloudy_sky_dni,cloudy_sky_dhi
0,00:00,00:15,2023-12-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
1,00:15,00:30,2023-12-20 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:30,00:45,2023-12-20 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:45,01:00,2023-12-20 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
4,01:00,01:15,2023-12-20 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:15,01:30,2023-12-20 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:30,01:45,2023-12-20 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:45,02:00,2023-12-20 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
8,02:00,02:15,2023-12-20 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:15,02:30,2023-12-20 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:30,02:45,2023-12-20 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:45,03:00,2023-12-20 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0
12,03:00,03:15,2023-12-20 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
13,03:15,03:30,2023-12-20 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0
14,03:30,03:45,2023-12-20 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
15,03:45,04:00,2023-12-20 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0
16,04:00,04:15,2023-12-20 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
17,04:15,04:30,2023-12-20 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0
18,04:30,04:45,2023-12-20 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
19,04:45,05:00,2023-12-20 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0
20,05:00,05:15,2023-12-20 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
21,05:15,05:30,2023-12-20 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0
22,05:30,05:45,2023-12-20 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
23,05:45,06:00,2023-12-20 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0
24,06:00,06:15,2023-12-20 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
25,06:15,06:30,2023-12-20 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0
26,06:30,06:45,2023-12-20 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0
27,06:45,07:00,2023-12-20 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0
28,07:00,07:15,2023-12-20 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
29,07:15,07:30,2023-12-20 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0
30,07:30,07:45,2023-12-20 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0
31,07:45,08:00,2023-12-20 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0
32,08:00,08:15,2023-12-20 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
33,08:15,08:30,2023-12-20 08:15:00,0.35,2.8,1.52,0.19,0.0,0.19
34,08:30,08:45,2023-12-20 08:30:00,3.47,29.52,4.7,1.78,0.0,1.78
35,08:45,09:00,2023-12-20 08:45:00,8.01,55.23,7.07,3.97,0.0,3.97
36,09:00,09:15,2023-12-20 09:00:00,13.11,75.6,8.95,6.24,0.0,6.24
37,09:15,09:30,2023-12-20 09:15:00,18.38,91.67,10.49,8.47,0.0,8.47
38,09:30,09:45,2023-12-20 09:30:00,23.58,104.5,11.78,10.5,0.0,10.5
39,09:45,10:00,2023-12-20 09:45:00,28.56,114.87,12.86,12.28,0.0,12.28
40,10:00,10:15,2023-12-20 10:00:00,33.21,123.31,13.77,13.75,0.0,13.75
41,10:15,10:30,2023-12-20 10:15:00,37.46,130.19,14.54,15.31,0.0,15.31
42,10:30,10:45,2023-12-20 10:30:00,41.24,135.76,15.18,16.63,0.0,16.63
43,10:45,11:00,2023-12-20 10:45:00,44.5,140.22,15.71,17.7,0.0,17.7
44,11:00,11:15,2023-12-20 11:00:00,47.2,143.7,16.12,18.52,0.0,18.52
45,11:15,11:30,2023-12-20 11:15:00,49.32,146.3,16.44,19.35,0.0,19.35
46,11:30,11:45,2023-12-20 11:30:00,50.82,148.09,16.65,19.94,0.0,19.94
47,11:45,12:00,2023-12-20 11:45:00,51.69,149.11,16.78,20.28,0.0,20.28
48,12:00,12:15,2023-12-20 12:00:00,51.93,149.39,16.81,20.37,0.0,20.37
49,12:15,12:30,2023-12-20 12:15:00,51.53,148.93,16.75,18.48,0.0,18.48
50,12:30,12:45,2023-12-20 12:30:00,50.49,147.73,16.6,16.35,0.0,16.35
51,12:45,13:00,2023-12-20 12:45:00,48.83,145.75,16.36,14.04,0.0,14.04
52,13:00,13:15,2023-12-20 13:00:00,46.57,142.95,16.02,11.64,0.0,11.64
53,13:15,13:30,2023-12-20 13:15:00,43.72,139.23,15.57,10.93,0.0,10.93
54,13:30,13:45,2023-12-20 13:30:00,40.32,134.5,15.02,10.08,0.0,10.08
55,13:45,14:00,2023-12-20 13:45:00,36.41,128.62,14.35,9.1,0.0,9.1
56,14:00,14:15,2023-12-20 14:00:00,32.05,121.37,13.54,8.01,0.0,8.01
57,14:15,14:30,2023-12-20 14:15:00,27.3,112.47,12.59,6.82,0.0,6.82
58,14:30,14:45,2023-12-20 14:30:00,22.25,101.51,11.46,5.56,0.0,5.56
59,14:45,15:00,2023-12-20 14:45:00,17.01,87.92,10.11,4.25,0.0,4.25
60,15:00,15:15,2023-12-20 15:00:00,11.76,70.84,8.49,2.94,0.0,2.94
61,15:15,15:30,2023-12-20 15:15:00,6.75,49.14,6.51,1.69,0.0,1.69
62,15:30,15:45,2023-12-20 15:30:00,2.46,22.09,3.98,0.62,0.0,0.62
