datetime,power
2023-12-13 00:00:00+00:00,0.084176
2023-12-13 00:00:01+00:00,0.083553
2023-12-13 00:00:02+00:00,0.085339
2023-12-13 00:00:03+00:00,0.082939
2023-12-13 00:00:04+00:00,0.085323
2023-12-13 00:00:05+00:00,0.082959
2023-12-13 00:00:06+00:00,0.085087
2023-12-13 00:00:07+00:00,0.08345
2023-12-13 00:00:08+00:00,0.084477
2023-12-13 00:00:09+00:00,0.08407
2023-12-13 00:00:10+00:00,0.083834
2023-12-13 00:00:11+00:00,0.084739
2023-12-13 00:00:12+00:00,0.083192
2023-12-13 00:00:13+00:00,0.085234
2023-12-13 00:00:14+00:00,0.082875
2023-12-13 00:00:15+00:00,0.085388
2023-12-13 00:00:16+00:00,0.082938
2023-12-13 00:00:17+00:00,0.085134
2023-12-13 00:00:18+00:00,0.083414
2023-12-13 00:00:19+00:00,0.084497
2023-12-13 00:00:20+00:00,0.08412
2023-12-13 00:00:21+00:00,0.083647
2023-12-13 00:00:22+00:00,0.084866
2023-12-13 00:00:23+00:00,0.082993
2023-12-13 00:00:24+00:00,0.085294
2023-12-13 00:00:25+00:00,0.082797
2023-12-13 00:00:26+00:00,0.085321
2023-12-13 00:00:27+00:00,0.082958
2023-12-13 00:00:28+00:00,0.085006
2023-12-13 00:00:29+00:00,0.08347
2023-12-13 00:00:30+00:00,0.084212
2023-12-13 00:00:31+00:00,0.084245
2023-12-13 00:00:32+00:00,0.083635
2023-12-13 00:00:34+00:00,0.084656
2023-12-13 00:00:35+00:00,0.083277
2023-12-13 00:00:36+00:00,0.085121
2023-12-13 00:00:37+00:00,0.082938
2023-12-13 00:00:38+00:00,0.085286
2023-12-13 00:00:39+00:00,0.082804
2023-12-13 00:00:40+00:00,0.085363
2023-12-13 00:00:41+00:00,0.082939
2023-12-13 00:00:42+00:00,0.085037
2023-12-13 00:00:43+00:00,0.083305
2023-12-13 00:00:44+00:00,0.084494
2023-12-13 00:00:45+00:00,0.084038
2023-12-13 00:00:46+00:00,0.083766
2023-12-13 00:00:47+00:00,0.084617
2023-12-13 00:00:48+00:00,0.083308
2023-12-13 00:00:49+00:00,0.084692
2023-12-13 00:00:50+00:00,0.083233
2023-12-13 00:00:51+00:00,0.084892
2023-12-13 00:00:52+00:00,0.083251
2023-12-13 00:00:53+00:00,0.084829
2023-12-13 00:00:54+00:00,0.083228
2023-12-13 00:00:55+00:00,0.084474
2023-12-13 00:00:56+00:00,0.08272
2023-12-13 00:00:57+00:00,0.08414
2023-12-13 00:00:58+00:00,0.082801
2023-12-13 00:00:59+00:00,0.084034
2023-12-13 00:01:00+00:00,0.082935
2023-12-13 00:01:01+00:00,0.083826
2023-12-13 00:01:02+00:00,0.083177
2023-12-13 00:01:03+00:00,0.083324
2023-12-13 00:01:04+00:00,0.083804
2023-12-13 00:01:05+00:00,0.082841
2023-12-13 00:01:06+00:00,0.084469
2023-12-13 00:01:07+00:00,0.082332
2023-12-13 00:01:08+00:00,0.084715
2023-12-13 00:01:09+00:00,0.082312
2023-12-13 00:01:10+00:00,0.084483
2023-12-13 00:01:11+00:00,0.082813
2023-12-13 00:01:12+00:00,0.083873
2023-12-13 00:01:13+00:00,0.083535
2023-12-13 00:01:14+00:00,0.083141
2023-12-13 00:01:15+00:00,0.08411
2023-12-13 00:01:16+00:00,0.082833
2023-12-13 00:01:17+00:00,0.084279
2023-12-13 00:01:18+00:00,0.082649
2023-12-13 00:01:19+00:00,0.084291
2023-12-13 00:01:20+00:00,0.082611
2023-12-13 00:01:21+00:00,0.08446
2023-12-13 00:01:22+00:00,0.082558
2023-12-13 00:01:23+00:00,0.084493
2023-12-13 00:01:24+00:00,0.082474
2023-12-13 00:01:25+00:00,0.084497
2023-12-13 00:01:26+00:00,0.082515
2023-12-13 00:01:27+00:00,0.084462
2023-12-13 00:01:28+00:00,0.082737
2023-12-13 00:01:29+00:00,0.084188
2023-12-13 00:01:30+00:00,0.082948
2023-12-13 00:01:31+00:00,0.083871
2023-12-13 00:01:32+00:00,0.083055
2023-12-13 00:01:33+00:00,0.084056
2023-12-13 00:01:34+00:00,0.08469
2023-12-13 00:01:35+00:00,0.082311
2023-12-13 00:01:36+00:00,0.084816
