datetime,power
2023-12-15 00:00:00+00:00,3.059846
2023-12-15 00:00:01+00:00,4.016446
2023-12-15 00:00:02+00:00,3.969493
2023-12-15 00:00:03+00:00,4.00248
2023-12-15 00:00:04+00:00,3.994887
2023-12-15 00:00:05+00:00,3.965493
2023-12-15 00:00:06+00:00,4.019917
2023-12-15 00:00:07+00:00,3.946158
2023-12-15 00:00:08+00:00,4.039674
2023-12-15 00:00:09+00:00,3.944916
2023-12-15 00:00:10+00:00,4.052658
2023-12-15 00:00:11+00:00,3.92875
2023-12-15 00:00:12+00:00,4.039607
2023-12-15 00:00:13+00:00,3.925912
2023-12-15 00:00:14+00:00,4.047892
2023-12-15 00:00:15+00:00,3.937558
2023-12-15 00:00:16+00:00,4.028071
2023-12-15 00:00:17+00:00,3.934003
2023-12-15 00:00:18+00:00,4.034998
2023-12-15 00:00:19+00:00,3.952225
2023-12-15 00:00:20+00:00,4.001653
2023-12-15 00:00:21+00:00,3.963
2023-12-15 00:00:22+00:00,3.924645
2023-12-15 00:00:23+00:00,3.999427
2023-12-15 00:00:24+00:00,3.960961
2023-12-15 00:00:25+00:00,4.015766
2023-12-15 00:00:26+00:00,3.934189
2023-12-15 00:00:27+00:00,4.032408
2023-12-15 00:00:28+00:00,3.924694
2023-12-15 00:00:30+00:00,4.032725
2023-12-15 00:00:31+00:00,3.937645
2023-12-15 00:00:32+00:00,4.024323
2023-12-15 00:00:33+00:00,3.969966
2023-12-15 00:00:34+00:00,4.087872
2023-12-15 00:00:35+00:00,3.979601
2023-12-15 00:00:36+00:00,4.00613
2023-12-15 00:00:37+00:00,4.057146
2023-12-15 00:00:38+00:00,3.941471
2023-12-15 00:00:39+00:00,4.032107
2023-12-15 00:00:40+00:00,3.93697
2023-12-15 00:00:41+00:00,3.994031
2023-12-15 00:00:42+00:00,3.946867
2023-12-15 00:00:43+00:00,4.046605
2023-12-15 00:00:44+00:00,3.979393
2023-12-15 00:00:45+00:00,3.94093
2023-12-15 00:00:46+00:00,4.021553
2023-12-15 00:00:47+00:00,4.019141
2023-12-15 00:00:48+00:00,4.034876
2023-12-15 00:00:49+00:00,3.95146
2023-12-15 00:00:50+00:00,3.88676
2023-12-15 00:00:51+00:00,3.91376
2023-12-15 00:00:52+00:00,3.829044
2023-12-15 00:00:53+00:00,3.903051
2023-12-15 00:00:54+00:00,3.792351
2023-12-15 00:00:55+00:00,3.799875
2023-12-15 00:00:56+00:00,2.932575
2023-12-15 00:00:57+00:00,2.862596
2023-12-15 00:00:58+00:00,2.93454
2023-12-15 00:00:59+00:00,2.889577
2023-12-15 00:01:00+00:00,2.888095
2023-12-15 00:01:01+00:00,2.932937
2023-12-15 00:01:02+00:00,2.862277
2023-12-15 00:01:03+00:00,2.938757
2023-12-15 00:01:04+00:00,2.8782
2023-12-15 00:01:05+00:00,2.91663
2023-12-15 00:01:06+00:00,2.90526
2023-12-15 00:01:07+00:00,2.889846
2023-12-15 00:01:08+00:00,2.927259
2023-12-15 00:01:09+00:00,2.871173
2023-12-15 00:01:10+00:00,2.941285
2023-12-15 00:01:11+00:00,2.864685
2023-12-15 00:01:12+00:00,2.943457
2023-12-15 00:01:13+00:00,2.859653
2023-12-15 00:01:14+00:00,2.940824
2023-12-15 00:01:15+00:00,2.866912
2023-12-15 00:01:16+00:00,2.927596
2023-12-15 00:01:17+00:00,2.883077
2023-12-15 00:01:18+00:00,2.638192
2023-12-15 00:01:19+00:00,0.784369
2023-12-15 00:01:20+00:00,0.79041
2023-12-15 00:01:21+00:00,0.787306
2023-12-15 00:01:22+00:00,0.787667
2023-12-15 00:01:23+00:00,0.792674
2023-12-15 00:01:24+00:00,0.782711
2023-12-15 00:01:25+00:00,0.796605
2023-12-15 00:01:26+00:00,0.776626
2023-12-15 00:01:27+00:00,0.795443
2023-12-15 00:01:28+00:00,0.778235
2023-12-15 00:01:29+00:00,0.793935
2023-12-15 00:01:30+00:00,0.798591
2023-12-15 00:01:31+00:00,0.780688
2023-12-15 00:01:32+00:00,0.789154
2023-12-15 00:01:33+00:00,0.793924
2023-12-15 00:01:34+00:00,0.782931
2023-12-15 00:01:35+00:00,0.799007
2023-12-15 00:01:36+00:00,0.781863
2023-12-15 00:01:37+00:00,0.785781
2023-12-15 00:01:38+00:00,0.800388
2023-12-15 00:01:39+00:00,0.780913
2023-12-15 00:01:40+00:00,0.793131
2023-12-15 00:01:41+00:00,0.78541
2023-12-15 00:01:42+00:00,0.784882
2023-12-15 00:01:43+00:00,0.823227
2023-12-15 00:01:44+00:00,0.856742
2023-12-15 00:01:45+00:00,0.876039
2023-12-15 00:01:46+00:00,0.861148
2023-12-15 00:01:47+00:00,0.863798
2023-12-15 00:01:48+00:00,0.871179
2023-12-15 00:01:49+00:00,0.859444
2023-12-15 00:01:50+00:00,0.875619
2023-12-15 00:01:51+00:00,0.853449
2023-12-15 00:01:52+00:00,0.874126
2023-12-15 00:01:53+00:00,0.858947
2023-12-15 00:01:54+00:00,0.868264
2023-12-15 00:01:55+00:00,0.867391
2023-12-15 00:01:56+00:00,0.858142
2023-12-15 00:01:57+00:00,0.876819
2023-12-15 00:01:58+00:00,0.856705
2023-12-15 00:01:59+00:00,0.869452
2023-12-15 00:02:00+00:00,0.869004
2023-12-15 00:02:01+00:00,0.857283
2023-12-15 00:02:02+00:00,0.87429
2023-12-15 00:02:03+00:00,0.861905
2023-12-15 00:02:04+00:00,0.864219
2023-12-15 00:02:05+00:00,0.876568
2023-12-15 00:02:06+00:00,0.855156
2023-12-15 00:02:07+00:00,0.870217
2023-12-15 00:02:08+00:00,0.868056
2023-12-15 00:02:09+00:00,0.857657
2023-12-15 00:02:10+00:00,0.876299
2023-12-15 00:02:11+00:00,0.857254
2023-12-15 00:02:12+00:00,0.86247
2023-12-15 00:02:13+00:00,0.876521
2023-12-15 00:02:14+00:00,0.855966
2023-12-15 00:02:15+00:00,0.867883
2023-12-15 00:02:16+00:00,0.873971
2023-12-15 00:02:17+00:00,0.859683
2023-12-15 00:02:18+00:00,0.86663
2023-12-15 00:02:19+00:00,0.871909
2023-12-15 00:02:20+00:00,0.856767
2023-12-15 00:02:21+00:00,0.869046
2023-12-15 00:02:22+00:00,0.87495
2023-12-15 00:02:23+00:00,0.856605
2023-12-15 00:02:24+00:00,0.866175
2023-12-15 00:02:25+00:00,0.873348
2023-12-15 00:02:26+00:00,0.856032
2023-12-15 00:02:27+00:00,0.872822
2023-12-15 00:02:28+00:00,0.866047
2023-12-15 00:02:29+00:00,0.857931
2023-12-15 00:02:30+00:00,0.877126
2023-12-15 00:02:31+00:00,0.860147
2023-12-15 00:02:32+00:00,0.862563
2023-12-15 00:02:33+00:00,0.873226
2023-12-15 00:02:34+00:00,0.855511
2023-12-15 00:02:35+00:00,0.872417
2023-12-15 00:02:36+00:00,0.862957
2023-12-15 00:02:37+00:00,0.861058
2023-12-15 00:02:38+00:00,0.873613
2023-12-15 00:02:39+00:00,0.854012
2023-12-15 00:02:40+00:00,0.871992
2023-12-15 00:02:41+00:00,0.864185
2023-12-15 00:02:42+00:00,0.859443
2023-12-15 00:02:43+00:00,0.875067
2023-12-15 00:02:44+00:00,0.855714
2023-12-15 00:02:45+00:00,0.867442
2023-12-15 00:02:46+00:00,0.871926
2023-12-15 00:02:47+00:00,0.856264
2023-12-15 00:02:48+00:00,2.818712
2023-12-15 00:02:49+00:00,3.954328
2023-12-15 00:02:50+00:00,3.908136
2023-12-15 00:02:51+00:00,3.990339
2023-12-15 00:02:52+00:00,3.898198
2023-12-15 00:02:53+00:00,3.919469
2023-12-15 00:02:54+00:00,3.961035
2023-12-15 00:02:55+00:00,3.870023
2023-12-15 00:02:56+00:00,3.945713
2023-12-15 00:02:57+00:00,3.913993
2023-12-15 00:02:58+00:00,3.869312
2023-12-15 00:02:59+00:00,3.957567
2023-12-15 00:03:00+00:00,3.890187
2023-12-15 00:03:01+00:00,3.888743
2023-12-15 00:03:02+00:00,3.960443
2023-12-15 00:03:03+00:00,3.865573
2023-12-15 00:03:04+00:00,3.924763
2023-12-15 00:03:05+00:00,3.932451
2023-12-15 00:03:06+00:00,3.858958
2023-12-15 00:03:07+00:00,3.938177
2023-12-15 00:03:08+00:00,3.920698
2023-12-15 00:03:09+00:00,3.865065
2023-12-15 00:03:10+00:00,3.943086
2023-12-15 00:03:11+00:00,3.914608
2023-12-15 00:03:12+00:00,3.86426
2023-12-15 00:03:13+00:00,3.932216
2023-12-15 00:03:14+00:00,3.92469
2023-12-15 00:03:15+00:00,3.854898
2023-12-15 00:03:16+00:00,3.908219
2023-12-15 00:03:17+00:00,3.928922
2023-12-15 00:03:18+00:00,3.854372
2023-12-15 00:03:19+00:00,3.891121
2023-12-15 00:03:20+00:00,3.938777
2023-12-15 00:03:21+00:00,3.869653
2023-12-15 00:03:22+00:00,3.868538
2023-12-15 00:03:23+00:00,3.939428
2023-12-15 00:03:24+00:00,3.890836
2023-12-15 00:03:25+00:00,3.85854
2023-12-15 00:03:26+00:00,3.922659
2023-12-15 00:03:27+00:00,3.915647
2023-12-15 00:03:28+00:00,3.857347
2023-12-15 00:03:29+00:00,3.894318
2023-12-15 00:03:30+00:00,3.937401
2023-12-15 00:03:31+00:00,3.885607
2023-12-15 00:03:32+00:00,3.858502
2023-12-15 00:03:33+00:00,3.926106
2023-12-15 00:03:34+00:00,3.909949
2023-12-15 00:03:35+00:00,3.850984
2023-12-15 00:03:36+00:00,3.918116
2023-12-15 00:03:37+00:00,3.920471
2023-12-15 00:03:38+00:00,3.84984
2023-12-15 00:03:39+00:00,3.913974
2023-12-15 00:03:40+00:00,3.913066
2023-12-15 00:03:41+00:00,3.849387
2023-12-15 00:03:42+00:00,3.922119
2023-12-15 00:03:43+00:00,3.914235
2023-12-15 00:03:44+00:00,3.852259
2023-12-15 00:03:45+00:00,3.919473
2023-12-15 00:03:46+00:00,3.914695
2023-12-15 00:03:47+00:00,3.850754
2023-12-15 00:03:48+00:00,3.914598
2023-12-15 00:03:49+00:00,3.089267
